generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,333,1.2831621816617805e-05,1.98748083156347e-05,1.546483104514603e-05,1.2149061098196467e-06
1,320,1.2671656211521412e-05,1.942565202847304e-05,1.5551815508677674e-05,1.1743215325419608e-06
2,334,1.2662505038497957e-05,2.030784985987354e-05,1.5571600688039298e-05,1.1356466189243976e-06
3,346,1.2927745184630619e-05,1.9952530519368627e-05,1.5503000461159523e-05,1.1184083527424286e-06
4,348,1.2268873679653623e-05,1.928430067514266e-05,1.5605593629099745e-05,1.1687626201757332e-06
5,345,1.2093550133828474e-05,1.928430067514266e-05,1.569338412112498e-05,1.2312803130212762e-06
6,338,1.200636900152453e-05,2.127330012574555e-05,1.5744129438485338e-05,1.2501688326679805e-06
7,344,1.3112816113406371e-05,2.038773640782458e-05,1.5742963575696883e-05,1.212837030683901e-06
8,352,1.2839254716459408e-05,2.000183894023865e-05,1.5696553115246926e-05,1.1984170043370762e-06
9,345,1.2957125667422149e-05,1.929048641587721e-05,1.571040290812493e-05,1.2315606038186363e-06
10,350,1.2800900708377533e-05,1.9659879851302627e-05,1.5748719855672577e-05,1.2332597891495532e-06
11,343,1.3047078093873235e-05,2.0157229086473028e-05,1.576754749791977e-05,1.2475484091908398e-06
12,333,1.244269082923833e-05,1.965117935298191e-05,1.57118336653376e-05,1.2056753486263592e-06
13,328,1.293301443158985e-05,1.9172712089395976e-05,1.5671610243539555e-05,1.1781584864077784e-06
14,336,1.3251526359218912e-05,1.862614015451143e-05,1.5643458404433857e-05,1.1510639810963383e-06
15,330,1.2807190612517631e-05,1.9350224495473595e-05,1.566483285159788e-05,1.1996348122327017e-06
16,336,1.2853986412391376e-05,1.949418587402685e-05,1.564776246901929e-05,1.204057102484358e-06
17,344,1.2957371711720957e-05,2.0110811255272366e-05,1.554370345648827e-05,1.158552266053138e-06
18,349,1.266893647717633e-05,2.054299553963926e-05,1.5554049225637235e-05,1.1264148238805138e-06
19,355,1.2193794541345865e-05,2.027394576727224e-05,1.5661416671202042e-05,1.1706134954015931e-06
20,345,1.2786450047496187e-05,1.937044409527488e-05,1.5694347472941065e-05,1.2579615462537994e-06
21,342,1.2845789063900724e-05,1.9690966014328134e-05,1.5691163999505354e-05,1.1893919760270825e-06
22,337,1.2607512497770396e-05,2.0353087842667127e-05,1.571062642781863e-05,1.2517352510773984e-06
23,354,1.2780336233851741e-05,1.9224906151671098e-05,1.564171128765552e-05,1.2077842944354428e-06
24,348,1.3144635553782567e-05,1.966354494938997e-05,1.5720740904193003e-05,1.2303099900645362e-06
25,352,1.2218667712031147e-05,1.9757750784950957e-05,1.569118438863894e-05,1.2028273726159701e-06
26,340,1.3074073270967836e-05,1.8674174583544457e-05,1.5668989766392854e-05,1.1082552205445497e-06
27,338,1.3191220169296788e-05,1.924922853451364e-05,1.5694744255385622e-05,1.1042573488672766e-06
28,359,1.279010736004348e-05,2.034885189562847e-05,1.5619684210106968e-05,1.1915277273166318e-06
29,349,1.2603837270189913e-05,2.034885189562847e-05,1.579245203904516e-05,1.2622592985064574e-06
30,332,1.2498571875561642e-05,2.0804345880669896e-05,1.5805345023485627e-05,1.2979760280588747e-06
31,347,1.2835139491363669e-05,2.003385908287242e-05,1.57060620784059e-05,1.1981217471882965e-06
32,349,1.2575976380274548e-05,1.9009387933252782e-05,1.565063182206577e-05,1.213797897769716e-06
33,337,1.273491134832624e-05,1.987584835620654e-05,1.5708233257533354e-05,1.219887115936255e-06
34,351,1.259499068542844e-05,1.987584835620654e-05,1.5728713646974576e-05,1.224770074823387e-06
35,312,1.2995470161538743e-05,1.9333652610382312e-05,1.559274504713018e-05,1.1159258966130237e-06
36,342,1.2453860711999702e-05,2.029023921833176e-05,1.5573290413048764e-05,1.2364787234991454e-06
37,341,1.2318062480439836e-05,2.029023921833176e-05,1.5599202667047008e-05,1.2055541584458924e-06
38,351,1.2453860711999702e-05,1.987618130643122e-05,1.5641784953810936e-05,1.218548642638925e-06
39,325,1.288758467164804e-05,1.987618130643122e-05,1.5620651627710307e-05,1.20377792186439e-06
40,360,1.2849439761212315e-05,2.1042074766593317e-05,1.5606497608222364e-05,1.1695919163728676e-06
41,344,1.2722574870881805e-05,1.9281029589244182e-05,1.555739058927905e-05,1.126782396818524e-06
42,328,1.2866376754767925e-05,2.023986905385205e-05,1.5701690250795717e-05,1.2147153469747475e-06
43,332,1.2866376754767925e-05,2.0019680884026904e-05,1.5761329633505364e-05,1.2399140033704988e-06
44,340,1.2636997772054226e-05,1.9309206191164102e-05,1.5803873753255225e-05,1.2664691184165298e-06
45,340,1.2692459469779118e-05,2.045068877122415e-05,1.5792555272714955e-05,1.1906496634552983e-06
46,350,1.25956108143322e-05,2.1062355241389676e-05,1.5795623858987694e-05,1.1616846736106735e-06
