generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,65,9.777824307339058e-05,0.00013613794130443174,0.00011110156579487264,7.74638159389641e-06
1,70,0.00010004283586332304,0.00013993794857812504,0.0001106546467247233,7.035654857373646e-06
2,72,9.958282868485221e-05,0.0001437204807828566,0.00011147728600284916,7.8292461584404e-06
3,68,9.878426677896042e-05,0.00013998183319055454,0.0001114377220185938,7.200937933733704e-06
4,74,9.916065499189498e-05,0.00013193927997583055,0.00011108207804019393,7.76107424125271e-06
5,62,0.00010000520481667328,0.0001309520671927985,0.00011241875414638315,6.850470612540515e-06
6,70,9.517030121769415e-05,0.00013515478902980245,0.00011336336437439126,7.899088324370902e-06
7,70,9.433317756179015e-05,0.00012769297684097223,0.00010996585938186345,6.760702078766704e-06
8,68,9.780718668339142e-05,0.00012988999908495905,0.00010954872986966137,6.159453094196913e-06
9,69,9.558159630237352e-05,0.00013214881771721494,0.00011122223004256924,6.15060535449459e-06
10,69,9.866023186544428e-05,0.00013214881771721494,0.00011076621873945219,5.900417676373345e-06
11,74,9.836656285172969e-05,0.00013431489535848737,0.00010988603971524182,6.322319118500519e-06
12,66,9.501668818798392e-05,0.00012908535878345198,0.00010951064778414585,6.680103967728671e-06
13,68,9.635017571503287e-05,0.00012850363664601786,0.0001102893615164009,6.240676572827479e-06
14,64,0.00010040710753409174,0.00013600829412999148,0.000111947135327275,6.341977463151148e-06
15,56,0.00010009928485907606,0.0001366261129273655,0.0001132789741625337,7.115166767779896e-06
16,70,9.87147956501816e-05,0.0001293937584926482,0.00011323644343386619,5.872164719951556e-06
17,70,9.681098458496072e-05,0.00013239559120518363,0.00011225620955221841,7.203137594612761e-06
18,74,9.752036569052418e-05,0.0001348899138624862,0.00011404137104900813,7.250833798221593e-06
19,76,0.00010100946014542873,0.00013646631403005412,0.00011389962522145584,7.372438289656055e-06
20,70,9.925849708634559e-05,0.00013646631403005412,0.00011273974734393769,7.125334054521632e-06
21,64,9.925849708634559e-05,0.00013646631403005412,0.00011316921336091374,7.4200905233010964e-06
22,62,9.5993977331285e-05,0.0001324333731815819,0.0001122209238005124,7.920985430173617e-06
23,68,9.5993977331285e-05,0.0001366205753916589,0.0001130889479632551,7.372123105448722e-06
24,70,9.354152669176325e-05,0.0001311082845353343,0.00011262534767811346,6.459458669824993e-06
25,68,9.615852271903201e-05,0.00013444106868171926,0.00011220279196301294,7.1713255306428916e-06
26,64,9.758565484689284e-05,0.00013444106868171926,0.00011356420030646667,7.229703778777061e-06
27,68,9.468292354659722e-05,0.00012739246732779914,0.00011215458385836214,7.0591624741899574e-06
28,74,9.468292354659722e-05,0.00013194286170828892,0.00011121691654219373,7.40808629431341e-06
29,72,9.563245547222157e-05,0.0001330128385450767,0.00011125859538962913,7.398340027520616e-06
30,74,9.707174819691102e-05,0.00013223614246894456,0.00011222800157851909,7.513563663314651e-06
31,70,9.707174819691102e-05,0.0001326047826251934,0.0001114963893061013,6.689294087365108e-06
32,62,9.67219328746607e-05,0.00012903077314774044,0.00011100504087281594,6.6769185208906634e-06
33,64,9.848238009374993e-05,0.00012934801038422158,0.00011102168036085085,6.068351580277903e-06
34,62,9.718483685677227e-05,0.00012572898505045041,0.0001112470800400873,5.89186601721391e-06
35,64,9.718483685677227e-05,0.00012572898505045041,0.00011092495373597527,6.195139041906261e-06
36,66,9.539280524324145e-05,0.00012448435985824968,0.00011048931879512033,5.81546942564956e-06
37,70,9.75411977631643e-05,0.00012848355259430328,0.00011112585155323155,5.893743337388115e-06
38,70,9.541758387241173e-05,0.00013584305860144137,0.00011061855377207617,6.608726892340677e-06
39,64,9.383175598996907e-05,0.00013941742961658083,0.00011170659429642199,7.94161646268647e-06
40,71,9.63394106983703e-05,0.00013450852797707372,0.00011186312172121035,7.34894778383512e-06
41,62,9.623715814447334e-05,0.00013715311618800138,0.00011262601878888542,6.786221279108529e-06
42,60,0.00010024287260156434,0.00013199399950441343,0.00011246088098054183,6.206945677069539e-06
43,64,9.760632089481772e-05,0.00014169509097705166,0.0001132864389621946,7.35386814005845e-06
44,64,9.98607642020076e-05,0.0001293187259627816,0.00011141681319583332,6.2862396642225926e-06
45,64,9.824842090725e-05,0.0001308008016205128,0.0001116547929467964,6.845685947479007e-06
46,62,9.857427255405792e-05,0.00014047628875884924,0.00011339356044728407,8.296642868317655e-06
47,70,9.642680953932533e-05,0.00014047628875884924,0.00011277274928893206,9.006756075674252e-06
48,78,9.845862719750006e-05,0.00013725499799962615,0.0001122095878379363,8.337898668617549e-06
49,72,9.771715586600845e-05,0.0001452701075097354,0.00011293417572019436,8.113872211726382e-06
50,64,9.76538621529051e-05,0.0001403912290164215,0.00011206919116471566,8.471830313766868e-06
51,70,9.685244262630438e-05,0.0001371664875957218,0.00011339879065720902,7.178986466264282e-06
52,68,9.963719580051074e-05,0.00014375952684526254,0.0001132665342826887,7.780133920494931e-06
53,66,9.751736311411852e-05,0.00014724094602376356,0.00011373497901779745,8.683932435416772e-06
54,72,9.89025232005241e-05,0.00013703208823475678,0.00011387101732166782,8.238543980876047e-06
55,62,9.680172915068113e-05,0.00013703208823475678,0.00011323703198909165,8.638282266709354e-06
56,68,9.503579722948012e-05,0.00013703208823475678,0.00011314763780953104,8.102438994271014e-06
57,67,9.838293729793242e-05,0.0001355719545942581,0.00011304701514864494,7.123657123974877e-06
58,68,9.73410682468013e-05,0.0001290591104478655,0.00011270372390265406,7.594516325906555e-06
59,72,9.73410682468013e-05,0.0001344246263263143,0.00011235479727077466,7.85441834228934e-06
60,66,9.628256552962984e-05,0.0001337110561381453,0.00011234258892816519,7.516016788217738e-06
61,65,9.810345676618474e-05,0.0001329622167130621,0.0001127324125667903,6.01855107275816e-06
62,72,0.00010198266384159468,0.00013387194216396705,0.0001136890393784614,6.320292461800499e-06
63,72,0.00010095512745811151,0.0001331005235438732,0.00011403053289917522,6.325417473314339e-06
64,66,9.977792849573282e-05,0.00013378445743282094,0.00011403811871560174,6.577158927763961e-06
65,66,0.00010011103388186925,0.00013470192571094836,0.0001138266733819861,6.7259852958637874e-06
